SCHOOL_YEAR	DATA_LEVEL	PUBLIC_OR_INDEPENDENT	DISTRICT_NUMBER	DISTRICT_NAME	SCHOOL_NUMBER	SCHOOL_NAME	EXAM_SUBJECT	GRADE	NUMBER_OF_EXAM_WRITERS	NUMBER_OF_C_MINUS_OR_BETTER	PERCENT_OF_C_MINUS_OR_BETTER
2006/2007	PROVINCE LEVEL	PROVINCE - Total					Chemistry 12	12	11273	10295	91
2006/2007	PROVINCE LEVEL	BC Public School					Chemistry 12	12	10074	9212	91
2006/2007	PROVINCE LEVEL	BC Independent School					Chemistry 12	12	1199	1083	90
2006/2007	DISTRICT LEVEL	BC Public School	005	Southeast Kootenay			Chemistry 12	12	98	87	89
2006/2007	DISTRICT LEVEL	BC Public School	006	Rocky Mountain			Chemistry 12	12	49	41	84
2006/2007	DISTRICT LEVEL	BC Public School	008	Kootenay Lake			Chemistry 12	12	67	60	90
2006/2007	DISTRICT LEVEL	BC Public School	019	Revelstoke			Chemistry 12	12	25	18	72
2006/2007	DISTRICT LEVEL	BC Public School	020	Kootenay-Columbia			Chemistry 12	12	85	77	91
2006/2007	DISTRICT LEVEL	BC Public School	022	Vernon			Chemistry 12	12	173	156	90
2006/2007	DISTRICT LEVEL	BC Public School	023	Central Okanagan			Chemistry 12	12	352	339	96
2006/2007	DISTRICT LEVEL	BC Public School	027	Cariboo-Chilcotin			Chemistry 12	12	77	61	79
2006/2007	DISTRICT LEVEL	BC Public School	028	Quesnel			Chemistry 12	12	62	55	89
2006/2007	DISTRICT LEVEL	BC Public School	033	Chilliwack			Chemistry 12	12	101	101	100
2006/2007	DISTRICT LEVEL	BC Public School	034	Abbotsford			Chemistry 12	12	253	238	94
2006/2007	DISTRICT LEVEL	BC Public School	035	Langley			Chemistry 12	12	258	235	91
2006/2007	DISTRICT LEVEL	BC Public School	036	Surrey			Chemistry 12	12	1153	1087	94
2006/2007	DISTRICT LEVEL	BC Public School	037	Delta			Chemistry 12	12	262	237	90
2006/2007	DISTRICT LEVEL	BC Public School	038	Richmond			Chemistry 12	12	641	596	93
2006/2007	DISTRICT LEVEL	BC Public School	039	Vancouver			Chemistry 12	12	1548	1421	92
2006/2007	DISTRICT LEVEL	BC Public School	040	New Westminster			Chemistry 12	12	179	164	92
2006/2007	DISTRICT LEVEL	BC Public School	041	Burnaby			Chemistry 12	12	787	707	90
2006/2007	DISTRICT LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows			Chemistry 12	12	120	114	95
2006/2007	DISTRICT LEVEL	BC Public School	043	Coquitlam			Chemistry 12	12	741	696	94
2006/2007	DISTRICT LEVEL	BC Public School	044	North Vancouver			Chemistry 12	12	396	362	91
2006/2007	DISTRICT LEVEL	BC Public School	045	West Vancouver			Chemistry 12	12	201	192	96
2006/2007	DISTRICT LEVEL	BC Public School	046	Sunshine Coast			Chemistry 12	12	48	44	92
2006/2007	DISTRICT LEVEL	BC Public School	047	Powell River			Chemistry 12	12	19	19	100
2006/2007	DISTRICT LEVEL	BC Public School	048	Sea to Sky			Chemistry 12	12	39	35	90
2006/2007	DISTRICT LEVEL	BC Public School	049	Central Coast			Chemistry 12	12	Msk	Msk	Msk
2006/2007	DISTRICT LEVEL	BC Public School	050	Haida Gwaii			Chemistry 12	12	Msk	Msk	Msk
2006/2007	DISTRICT LEVEL	BC Public School	051	Boundary			Chemistry 12	12	24	23	96
2006/2007	DISTRICT LEVEL	BC Public School	052	Prince Rupert			Chemistry 12	12	41	26	63
2006/2007	DISTRICT LEVEL	BC Public School	053	Okanagan Similkameen			Chemistry 12	12	38	31	82
2006/2007	DISTRICT LEVEL	BC Public School	054	Bulkley Valley			Chemistry 12	12	31	22	71
2006/2007	DISTRICT LEVEL	BC Public School	057	Prince George			Chemistry 12	12	216	174	81
2006/2007	DISTRICT LEVEL	BC Public School	058	Nicola-Similkameen			Chemistry 12	12	19	16	84
2006/2007	DISTRICT LEVEL	BC Public School	059	Peace River South			Chemistry 12	12	66	45	68
2006/2007	DISTRICT LEVEL	BC Public School	060	Peace River North			Chemistry 12	12	39	30	77
2006/2007	DISTRICT LEVEL	BC Public School	061	Greater Victoria			Chemistry 12	12	326	308	94
2006/2007	DISTRICT LEVEL	BC Public School	062	Sooke			Chemistry 12	12	76	70	92
2006/2007	DISTRICT LEVEL	BC Public School	063	Saanich			Chemistry 12	12	217	195	90
2006/2007	DISTRICT LEVEL	BC Public School	064	Gulf Islands			Chemistry 12	12	30	29	97
2006/2007	DISTRICT LEVEL	BC Public School	067	Okanagan Skaha			Chemistry 12	12	133	129	97
2006/2007	DISTRICT LEVEL	BC Public School	068	Nanaimo-Ladysmith			Chemistry 12	12	198	181	91
2006/2007	DISTRICT LEVEL	BC Public School	069	Qualicum			Chemistry 12	12	69	63	91
2006/2007	DISTRICT LEVEL	BC Public School	070	Alberni			Chemistry 12	12	59	57	97
2006/2007	DISTRICT LEVEL	BC Public School	071	Comox Valley			Chemistry 12	12	94	88	94
2006/2007	DISTRICT LEVEL	BC Public School	072	Campbell River			Chemistry 12	12	76	68	89
2006/2007	DISTRICT LEVEL	BC Public School	073	Kamloops/Thompson			Chemistry 12	12	190	176	93
2006/2007	DISTRICT LEVEL	BC Public School	074	Gold Trail			Chemistry 12	12	11	11	100
2006/2007	DISTRICT LEVEL	BC Public School	075	Mission			Chemistry 12	12	40	36	90
2006/2007	DISTRICT LEVEL	BC Public School	078	Fraser-Cascade			Chemistry 12	12	15	14	93
2006/2007	DISTRICT LEVEL	BC Public School	079	Cowichan Valley			Chemistry 12	12	88	79	90
2006/2007	DISTRICT LEVEL	BC Public School	082	Coast Mountains			Chemistry 12	12	79	70	89
2006/2007	DISTRICT LEVEL	BC Public School	083	North Okanagan-Shuswap			Chemistry 12	12	75	60	80
2006/2007	DISTRICT LEVEL	BC Public School	084	Vancouver Island West			Chemistry 12	12	Msk	Msk	Msk
2006/2007	DISTRICT LEVEL	BC Public School	085	Vancouver Island North			Chemistry 12	12	18	14	78
2006/2007	DISTRICT LEVEL	BC Public School	091	Nechako Lakes			Chemistry 12	12	30	20	67
2006/2007	DISTRICT LEVEL	BC Public School	093	Conseil scolaire francophone			Chemistry 12	12	30	25	83
2006/2007	SCHOOL LEVEL	BC Public School	005	Southeast Kootenay	00501006	Sparwood Secondary	Chemistry 12	12	13	13	100
2006/2007	SCHOOL LEVEL	BC Public School	005	Southeast Kootenay	00501016	Elkford Secondary	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	005	Southeast Kootenay	00502001	Mount Baker Secondary	Chemistry 12	12	67	57	85
2006/2007	SCHOOL LEVEL	BC Public School	005	Southeast Kootenay	00505032	Fernie Secondary School	Chemistry 12	12	15	14	93
2006/2007	SCHOOL LEVEL	BC Public School	006	Rocky Mountain	00603008	Selkirk Secondary School	Chemistry 12	12	12	11	92
2006/2007	SCHOOL LEVEL	BC Public School	006	Rocky Mountain	00604015	David Thompson Secondary	Chemistry 12	12	17	15	88
2006/2007	SCHOOL LEVEL	BC Public School	006	Rocky Mountain	00606000	Continuing Ed SD 06	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	006	Rocky Mountain	00618005	Golden Secondary	Chemistry 12	12	19	15	79
2006/2007	SCHOOL LEVEL	BC Public School	008	Kootenay Lake	00807013	L V Rogers Secondary	Chemistry 12	12	21	21	100
