SCHOOL_YEAR	DATA_LEVEL	PUBLIC_OR_INDEPENDENT	DISTRICT_NUMBER	DISTRICT_NAME	SCHOOL_NUMBER	SCHOOL_NAME	EXAM_SUBJECT	GRADE	NUMBER_OF_EXAM_WRITERS	NUMBER_OF_C_MINUS_OR_BETTER	PERCENT_OF_C_MINUS_OR_BETTER
2006/2007	PROVINCE LEVEL	PROVINCE - Total					Geology 12	12	1035	973	94
2006/2007	PROVINCE LEVEL	BC Public School					Geology 12	12	960	903	94
2006/2007	PROVINCE LEVEL	BC Independent School					Geology 12	12	75	70	93
2006/2007	DISTRICT LEVEL	BC Public School	006	Rocky Mountain			Geology 12	12	20	17	85
2006/2007	DISTRICT LEVEL	BC Public School	022	Vernon			Geology 12	12	43	43	100
2006/2007	DISTRICT LEVEL	BC Public School	023	Central Okanagan			Geology 12	12	38	37	97
2006/2007	DISTRICT LEVEL	BC Public School	027	Cariboo-Chilcotin			Geology 12	12	10	9	90
2006/2007	DISTRICT LEVEL	BC Public School	033	Chilliwack			Geology 12	12	52	46	88
2006/2007	DISTRICT LEVEL	BC Public School	034	Abbotsford			Geology 12	12	68	64	94
2006/2007	DISTRICT LEVEL	BC Public School	035	Langley			Geology 12	12	27	23	85
2006/2007	DISTRICT LEVEL	BC Public School	036	Surrey			Geology 12	12	79	73	92
2006/2007	DISTRICT LEVEL	BC Public School	037	Delta			Geology 12	12	38	38	100
2006/2007	DISTRICT LEVEL	BC Public School	038	Richmond			Geology 12	12	17	17	100
2006/2007	DISTRICT LEVEL	BC Public School	039	Vancouver			Geology 12	12	64	62	97
2006/2007	DISTRICT LEVEL	BC Public School	040	New Westminster			Geology 12	12	68	67	99
2006/2007	DISTRICT LEVEL	BC Public School	041	Burnaby			Geology 12	12	19	18	95
2006/2007	DISTRICT LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows			Geology 12	12	53	46	87
2006/2007	DISTRICT LEVEL	BC Public School	043	Coquitlam			Geology 12	12	116	112	97
2006/2007	DISTRICT LEVEL	BC Public School	044	North Vancouver			Geology 12	12	48	42	88
2006/2007	DISTRICT LEVEL	BC Public School	045	West Vancouver			Geology 12	12	47	45	96
2006/2007	DISTRICT LEVEL	BC Public School	046	Sunshine Coast			Geology 12	12	16	16	100
2006/2007	DISTRICT LEVEL	BC Public School	048	Sea to Sky			Geology 12	12	16	16	100
2006/2007	DISTRICT LEVEL	BC Public School	053	Okanagan Similkameen			Geology 12	12	16	16	100
2006/2007	DISTRICT LEVEL	BC Public School	057	Prince George			Geology 12	12	37	30	81
2006/2007	DISTRICT LEVEL	BC Public School	059	Peace River South			Geology 12	12	Msk	Msk	Msk
2006/2007	DISTRICT LEVEL	BC Public School	060	Peace River North			Geology 12	12	Msk	Msk	Msk
2006/2007	DISTRICT LEVEL	BC Public School	062	Sooke			Geology 12	12	Msk	Msk	Msk
2006/2007	DISTRICT LEVEL	BC Public School	070	Alberni			Geology 12	12	Msk	Msk	Msk
2006/2007	DISTRICT LEVEL	BC Public School	071	Comox Valley			Geology 12	12	22	22	100
2006/2007	DISTRICT LEVEL	BC Public School	075	Mission			Geology 12	12	Msk	Msk	Msk
2006/2007	DISTRICT LEVEL	BC Public School	082	Coast Mountains			Geology 12	12	Msk	Msk	Msk
2006/2007	DISTRICT LEVEL	BC Public School	093	Conseil scolaire francophone			Geology 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	006	Rocky Mountain	00603008	Selkirk Secondary School	Geology 12	12	20	17	85
2006/2007	SCHOOL LEVEL	BC Public School	022	Vernon	02222022	Kalamalka Secondary	Geology 12	12	26	26	100
2006/2007	SCHOOL LEVEL	BC Public School	022	Vernon	02222025	Clarence Fulton Secondary	Geology 12	12	17	17	100
2006/2007	SCHOOL LEVEL	BC Public School	023	Central Okanagan	02323044	Rutland Senior Secondary	Geology 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	023	Central Okanagan	02323076	Kelowna Secondary	Geology 12	12	32	32	100
2006/2007	SCHOOL LEVEL	BC Public School	027	Cariboo-Chilcotin	02727047	Columneetza Secondary	Geology 12	12	10	9	90
2006/2007	SCHOOL LEVEL	BC Public School	033	Chilliwack	03333012	Chilliwack Secondary	Geology 12	12	35	29	83
2006/2007	SCHOOL LEVEL	BC Public School	033	Chilliwack	03333018	Sardis Secondary	Geology 12	12	17	17	100
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03434038	Yale Secondary	Geology 12	12	22	20	91
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03434041	W J Mouat Secondary	Geology 12	12	21	21	100
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03434052	Rick Hansen Secondary	Geology 12	12	24	22	92
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03499055	Bakerview Ctr for Learning - Alt	Geology 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03535034	D W Poppy Secondary	Geology 12	12	16	13	81
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03535050	Walnut Grove Secondary	Geology 12	12	11	10	91
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636105	Earl Marriott Secondary	Geology 12	12	14	13	93
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636114	Enver Creek Secondary	Geology 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636141	Fraser Heights Secondary	Geology 12	12	41	41	100
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636248	Kwantlen Park Secondary	Geology 12	12	15	11	73
2006/2007	SCHOOL LEVEL	BC Public School	037	Delta	03737012	North Delta Secondary	Geology 12	12	12	12	100
2006/2007	SCHOOL LEVEL	BC Public School	037	Delta	03737037	South Delta Secondary	Geology 12	12	26	26	100
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838045	Steveston-London Secondary	Geology 12	12	17	17	100
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939006	Kitsilano Secondary	Geology 12	12	22	21	95
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939011	Vancouver Technical Secondary	Geology 12	12	30	29	97
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939018	David Thompson Secondary	Geology 12	12	12	12	100
2006/2007	SCHOOL LEVEL	BC Public School	040	New Westminster	04040008	New Westminster Secondary	Geology 12	12	67	66	99
2006/2007	SCHOOL LEVEL	BC Public School	040	New Westminster	04099124	Sigma	Geology 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04141062	Burnaby South Secondary	Geology 12	12	19	18	95
2006/2007	SCHOOL LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows	04242001	Maple Ridge Secondary	Geology 12	12	19	16	84
