SCHOOL_YEAR	DATA_LEVEL	PUBLIC_OR_INDEPENDENT	DISTRICT_NUMBER	DISTRICT_NAME	SCHOOL_NUMBER	SCHOOL_NAME	EXAM_SUBJECT	GRADE	NUMBER_OF_EXAM_WRITERS	NUMBER_OF_C_MINUS_OR_BETTER	PERCENT_OF_C_MINUS_OR_BETTER
2010/2011	PROVINCE LEVEL	PROVINCE - Total					Principles Of Mathematics 12	12	6538	6116	94
2010/2011	PROVINCE LEVEL	BC Public School					Principles Of Mathematics 12	12	5820	5463	94
2010/2011	PROVINCE LEVEL	BC Independent School					Principles Of Mathematics 12	12	718	653	91
2010/2011	DISTRICT LEVEL	BC Public School	005	Southeast Kootenay			Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	DISTRICT LEVEL	BC Public School	006	Rocky Mountain			Principles Of Mathematics 12	12	10	9	90
2010/2011	DISTRICT LEVEL	BC Public School	008	Kootenay Lake			Principles Of Mathematics 12	12	25	24	96
2010/2011	DISTRICT LEVEL	BC Public School	010	Arrow Lakes			Principles Of Mathematics 12	12	13	9	69
2010/2011	DISTRICT LEVEL	BC Public School	019	Revelstoke			Principles Of Mathematics 12	12	19	19	100
2010/2011	DISTRICT LEVEL	BC Public School	020	Kootenay-Columbia			Principles Of Mathematics 12	12	34	33	97
2010/2011	DISTRICT LEVEL	BC Public School	022	Vernon			Principles Of Mathematics 12	12	80	78	98
2010/2011	DISTRICT LEVEL	BC Public School	023	Central Okanagan			Principles Of Mathematics 12	12	80	79	99
2010/2011	DISTRICT LEVEL	BC Public School	027	Cariboo-Chilcotin			Principles Of Mathematics 12	12	12	12	100
2010/2011	DISTRICT LEVEL	BC Public School	028	Quesnel			Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	DISTRICT LEVEL	BC Public School	033	Chilliwack			Principles Of Mathematics 12	12	39	36	92
2010/2011	DISTRICT LEVEL	BC Public School	034	Abbotsford			Principles Of Mathematics 12	12	301	284	94
2010/2011	DISTRICT LEVEL	BC Public School	035	Langley			Principles Of Mathematics 12	12	133	120	90
2010/2011	DISTRICT LEVEL	BC Public School	036	Surrey			Principles Of Mathematics 12	12	786	750	95
2010/2011	DISTRICT LEVEL	BC Public School	037	Delta			Principles Of Mathematics 12	12	192	170	89
2010/2011	DISTRICT LEVEL	BC Public School	038	Richmond			Principles Of Mathematics 12	12	738	702	95
2010/2011	DISTRICT LEVEL	BC Public School	039	Vancouver			Principles Of Mathematics 12	12	855	809	95
2010/2011	DISTRICT LEVEL	BC Public School	040	New Westminster			Principles Of Mathematics 12	12	105	100	95
2010/2011	DISTRICT LEVEL	BC Public School	041	Burnaby			Principles Of Mathematics 12	12	296	274	93
2010/2011	DISTRICT LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows			Principles Of Mathematics 12	12	84	75	89
2010/2011	DISTRICT LEVEL	BC Public School	043	Coquitlam			Principles Of Mathematics 12	12	452	428	95
2010/2011	DISTRICT LEVEL	BC Public School	044	North Vancouver			Principles Of Mathematics 12	12	171	167	98
2010/2011	DISTRICT LEVEL	BC Public School	045	West Vancouver			Principles Of Mathematics 12	12	59	59	100
2010/2011	DISTRICT LEVEL	BC Public School	046	Sunshine Coast			Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	DISTRICT LEVEL	BC Public School	047	Powell River			Principles Of Mathematics 12	12	33	33	100
2010/2011	DISTRICT LEVEL	BC Public School	048	Sea to Sky			Principles Of Mathematics 12	12	50	44	88
2010/2011	DISTRICT LEVEL	BC Public School	049	Central Coast			Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	DISTRICT LEVEL	BC Public School	050	Haida Gwaii			Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	DISTRICT LEVEL	BC Public School	051	Boundary			Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	DISTRICT LEVEL	BC Public School	052	Prince Rupert			Principles Of Mathematics 12	12	40	27	68
2010/2011	DISTRICT LEVEL	BC Public School	053	Okanagan Similkameen			Principles Of Mathematics 12	12	12	11	92
2010/2011	DISTRICT LEVEL	BC Public School	054	Bulkley Valley			Principles Of Mathematics 12	12	51	50	98
2010/2011	DISTRICT LEVEL	BC Public School	057	Prince George			Principles Of Mathematics 12	12	33	33	100
2010/2011	DISTRICT LEVEL	BC Public School	058	Nicola-Similkameen			Principles Of Mathematics 12	12	28	22	79
2010/2011	DISTRICT LEVEL	BC Public School	059	Peace River South			Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	DISTRICT LEVEL	BC Public School	060	Peace River North			Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	DISTRICT LEVEL	BC Public School	061	Greater Victoria			Principles Of Mathematics 12	12	279	260	93
2010/2011	DISTRICT LEVEL	BC Public School	062	Sooke			Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	DISTRICT LEVEL	BC Public School	063	Saanich			Principles Of Mathematics 12	12	107	105	98
2010/2011	DISTRICT LEVEL	BC Public School	064	Gulf Islands			Principles Of Mathematics 12	12	Msk	Msk	Msk
2010/2011	DISTRICT LEVEL	BC Public School	067	Okanagan Skaha			Principles Of Mathematics 12	12	141	133	94
2010/2011	DISTRICT LEVEL	BC Public School	068	Nanaimo-Ladysmith			Principles Of Mathematics 12	12	83	79	95
